merchantName,description,category
property service,paiement maison loyer paiement mai,LOGEMENT
وكالة عقارية,loyer mensuel juillet,LOGEMENT
kfc,repas diner lac,RESTAURANT
سنديك,loyer mensuel septembre 7265,LOGEMENT
spotify,paiement weekend loisirs premium,LOISIRS
Accessories Shop,achat vetements ariana 5988,SHOPPING
service divers,inconnu operation ref001 carte bancaire,AUTRE
Boucherie Slim,epicerie quotidienne lac 9888,ALIMENTATION
epicerie nour,courses maison nabeul,ALIMENTATION
فاتورة,mobile recharge,FACTURES
khallas unknown,autre paiement 2026 visa,AUTRE
decathlon,paiement buying accessories lac,SHOPPING
xbox,paiement abonnement netflix mensuel 7511,LOISIRS
مختبر,consultation medicale lac,SANTE
divers,paiement divers 2026 en ligne,AUTRE
misc,transaction non classee tunis,AUTRE
sport club fun,abonnement plateforme mensuel 3907,LOISIRS
سنديك,paiement loyer mensuel,LOGEMENT
residence ennasr,versement logement fevrier,LOGEMENT
payroll,revenu mensuel juin 6662,SALAIRE
cinema,paiement abonnement netflix weekend,LOISIRS
barbershop,coupe cheveux en ligne,SHOPPING
ادخار,epargne versement juin 3016,EPARGNE
epargne,epargne mensuelle janvier,EPARGNE
walletreserve,paiement virement to epargne janvier,EPARGNE
agence immobiliere,paiement loyer avril 8711,LOGEMENT
dentiste,pharmacy achat manar,SANTE
عيادة,bilan de sante tunis,SANTE
formation center,frais universite semestre 1 mastercard,EDUCATION
ooredoo,paiement recharge internet maison,FACTURES
coffee shop,fast nourriture commande centre ville 5220,RESTAURANT
bonus entreprise,company payroll 2026,SALAIRE
bus,paiement transport tunis,TRANSPORT
Random Pay,paiement transaction non classee,AUTRE
epicerie el amen,boucherie alimentation lac,ALIMENTATION
landlord,paiement loyer septembre 2262,LOGEMENT
decathlon,en ligne achat centre ville 8567,SHOPPING
librairie,school tuition semestre 2 1825,EDUCATION
taxitunis,paiement station travel marsa,TRANSPORT
payroll,paiement versement employeur juin,SALAIRE
wallet reserve,virement epargne fevrier,EPARGNE
cabinet medical,analyses manar,SANTE
FAST FOOD,paiement cafe ariana 6018,RESTAURANT
residence lac,residence frais fevrier 8437,LOGEMENT
bonus entreprise,paie mensuelle juin,SALAIRE
netflix,achat console game,LOISIRS
bus,uber trajet sfax,TRANSPORT
AUTRE TRANSACTION,operation diverse en ligne,AUTRE
station metro,paiement station travel ariana,TRANSPORT
xbox,fun activity premium 2457,LOISIRS
fast food,repas diner la marsa 6532,RESTAURANT
kfc,paiement repas diner tunis,RESTAURANT
netflix,music abonnement avril,LOISIRS
payroll,paiement virement salaire mai,SALAIRE
electric company,paiement facture mobile maison 2753,FACTURES
hanout,achat produits alimentaires lac carte,ALIMENTATION
electriccompany,telecom facture mars 5071 virement,FACTURES
grill house,cafe avec amis la marsa,RESTAURANT
schoolfees,frais inscription semestre 2 7881,EDUCATION
salaire,paiement salaire paiement mars,SALAIRE
orange,mobile recharge 4g,FACTURES
decathlon,achat sport lac,SHOPPING
random pay,service inconnu 8111,AUTRE
pharma plus,paiement doctor visit,SANTE
pharmacie,bilan de sante lac,SANTE
مطعم المزة,fast nourriture commande la marsa,RESTAURANT
unknownmerchant,paiement divers service 2026,AUTRE
school fees,paiement frais universite,EDUCATION
company payroll,salaire paiement janvier,SALAIRE
residence ennasr,paiement residence frais juillet,LOGEMENT
تعليم,en ligne course avril,EDUCATION
esprit,paiement cours semestre 1 6663,EDUCATION
prime,prime de performance 6821,SALAIRE
marchecentral,paiement achat epicerie sfax,ALIMENTATION
restaurant la marsa,achat repas tunis,RESTAURANT
أوريدو,wifi abonnement avril virement,FACTURES
company payroll,paiement virement salaire mai,SALAIRE
spotify,abonnement netflix,LOISIRS
salary,company payroll avril,SALAIRE
CLINIQUE EL AMEN,visite medicale mastercard,SANTE
school fees,paiement en ligne course 3644,EDUCATION
bolt,transport ville sousse,TRANSPORT
تعليم,paiement cours semestre 2 8862,EDUCATION
prime,paiement versement employeur avril,SALAIRE
Metro,course taxi sousse,TRANSPORT
salon beaute,achat vetements marsa en ligne,SHOPPING
SONEDE,facture internet mai,FACTURES
coiffeur homme,paiement fashion achat en ligne,SHOPPING
خدمة,autre paiement 2026 en ligne,AUTRE
epargne,virement to epargne mars carte bancaire,EPARGNE
Pizza Hut,paiement cafe la marsa,RESTAURANT
سنديك,frais logement juillet,LOGEMENT
salaire,paiement virement salaire avril 4051,SALAIRE
sportclubfun,paiement achat console game mensuel carte,LOISIRS
pharmacie,achat medicament sfax,SANTE
cafe ben yedder,diner famille sousse,RESTAURANT
PSTB,paiement training frais 2026 6322,EDUCATION
hanout,paiement courses nabeul en ligne,ALIMENTATION
wallet reserve,paiement virement epargne juin,EPARGNE
pstb,paiement frais inscription,EDUCATION
service divers,paiement inconnu tunis,AUTRE
Burger King,fast nourriture commande la marsa virement,RESTAURANT
Fast Food,snack paiement centre ville,RESTAURANT
makloub center,paiement carte restaurant ariana,RESTAURANT
عيادة,achat medicaments sfax 3343,SANTE
حجام,fashion achat,SHOPPING
investment saving,epargne versement avril,EPARGNE
Sport Club Fun,cinema ticket mars,LOISIRS
plan epargne,virement to epargne janvier,EPARGNE
water service,water facture mai 1944,FACTURES
marche central,achat cuisine bizerte,ALIMENTATION
apartment owner,apartment location mars,LOGEMENT
livret,mensuel epargne avril,EPARGNE
compte epargne,virement to epargne mars,EPARGNE
playstation,jeu video mensuel 2699,LOISIRS
transport public,ticket louage visa,TRANSPORT
apartment owner,paiement maison loyer paiement avril 7288,LOGEMENT
PARA PHARMACIE,medical appointment tunis 1739,SANTE
gaming store,paiement cinema ticket premium,LOISIRS
rent apartment,paiement apartment location,LOGEMENT
مكتبة,training frais 1362,EDUCATION
فاتورة,paiement facture internet maison,FACTURES
clinique,paiement achat medicament sousse 8595,SANTE
cinema,music abonnement avril,LOISIRS
كراء,loyer appartement juillet,LOGEMENT
فاتورة,paiement facture mobile juin 7993 visa,FACTURES
BONUS ENTREPRISE,paiement bonus entreprise juin,SALAIRE
gamepass,weekend loisirs avril,LOISIRS
paie,paiement versement employeur fevrier 5207,SALAIRE
foody,repas diner ariana,RESTAURANT
hr payment,revenu mensuel fevrier 3991,SALAIRE
gaming store,film weekend 8779,LOISIRS
جامعة,frais universite avril 3562,EDUCATION
taxi,trajet downtown carte bancaire,TRANSPORT
SALARY,revenu mensuel mai 3754,SALAIRE
ترفيه,streaming service mensuel,LOISIRS
Random Pay,inconnu operation 2026,AUTRE
sonede,facture internet avril,FACTURES
أوريدو,paiement facture mars,FACTURES
placement,virement epargne fevrier,EPARGNE
taxi,paiement transport a tunis bizerte 6409,TRANSPORT
أوريدو,telecom facture juin,FACTURES
سنديك,paiement residence frais 9138,LOGEMENT
عملية,non classe paiement,AUTRE
magasin general,achat alimentaire bizerte,ALIMENTATION
pizza hut,cafe avec amis la marsa mastercard,RESTAURANT
epicerie nour,achat epicerie tunis mastercard,ALIMENTATION
Autre Transaction,paiement divers service tunis carte,AUTRE
service inconnu,paiement inconnu,AUTRE
apartment owner,charges immeuble septembre carte bancaire,LOGEMENT
عطار,courses maison tunis 9799,ALIMENTATION
home rent,versement logement juillet,LOGEMENT
residence ennasr,syndic building frais mars,LOGEMENT
SALON BEAUTE,mall achat lac 253,SHOPPING
ONLINE SHOP,achat sport ariana 5094 en ligne,SHOPPING
property service,frais logement juillet 3184,LOGEMENT
جامعة,paiement school tuition semestre 1,EDUCATION
misc,paiement inconnu operation 2026,AUTRE
unknown merchant,operation non connue ref001 mastercard,AUTRE
Ooredoo,facture mobile 4g,FACTURES
accessories shop,achat personnel centre ville,SHOPPING
bus,bus pass ariana,TRANSPORT
Epicerie Nour,grocery achat virement,ALIMENTATION
wifi bill,facture d'electricite fiber 1367,FACTURES
placement,virement to epargne janvier,EPARGNE
plan epargne,epargne versement mars,EPARGNE
TRANSPORT PUBLIC,bus pass bizerte 1290,TRANSPORT
louage,transport quotidien ariana 1343,TRANSPORT
grill house,diner famille lac,RESTAURANT
HAMMA HAJEM,paiement coupe cheveux en ligne,SHOPPING
location maison,versement logement janvier,LOGEMENT
PRIME,paiement versement employeur mai en ligne,SALAIRE
apartment owner,paiement syndic building frais juin,LOGEMENT
مختبر,paiement achat medicament sousse,SANTE
cabinet medical,analyses ariana,SANTE
mobile operator,internet paiement 4g,FACTURES
عيادة,paiement medical appointment tunis,SANTE
company payroll,virement salaire 6363,SALAIRE
COFFEE SHOP,dejeuner ariana,RESTAURANT
wifi bill,internet paiement mai,FACTURES
misc,non classe paiement en ligne 5203 visa,AUTRE
قهوة,coffee break sousse,RESTAURANT
louage,paiement trajet travail sfax 5911,TRANSPORT
Service Inconnu,divers service tunis 3074,AUTRE
salary,mensuel salaire mars,SALAIRE
Prime,paiement revenu mensuel mai,SALAIRE
gare routiere,trajet travail bizerte,TRANSPORT
PARA PHARMACIE,paiement achat medicament sousse,SANTE
PAYROLL,paiement paie mensuelle mars carte bancaire,SALAIRE
compte epargne,virement to epargne avril 5767,EPARGNE
zara,fashion achat,SHOPPING
service divers,transaction non classee,AUTRE
راتب,paiement revenu mensuel mai 5643,SALAIRE
shopping center,achat vetements tunis,SHOPPING
Random Pay,transaction non classee ref778,AUTRE
wifi bill,wifi abonnement tunis,FACTURES
loyer,apartment location septembre virement,LOGEMENT
لواج,paiement trajet paiement ariana,TRANSPORT
formation center,paiement education paiement semestre 1,EDUCATION
salaire,bonus entreprise avril,SALAIRE
Disney Plus,paiement achat console game famille mastercard,LOISIRS
hr payment,virement salaire fevrier virement,SALAIRE
online academy,paiement en ligne course semestre 2,EDUCATION
disney plus,paiement streaming service 331,LOISIRS
coursera,paiement formation data science semestre 1 415,EDUCATION
livret,reservation argent,EPARGNE
xbox,entertainment paiement avril mastercard,LOISIRS
BOLT,paiement bus pass marsa,TRANSPORT
عطار,paniers cuisine sfax,ALIMENTATION
سنديك,paiement loyer aout,LOGEMENT
souk,achat produits alimentaires manouba 692,ALIMENTATION
burger king,paiement pizza commande tunis,RESTAURANT
fresh market,courses maison manouba,ALIMENTATION
immo service,apartment location,LOGEMENT
Makloub Center,diner weekend lac,RESTAURANT
gamingstore,paiement film weekend mensuel en ligne,LOISIRS
Company Payroll,paiement salaire paiement fevrier,SALAIRE
تكسي,paiement station travel sousse,TRANSPORT
gare routiere,ticket metro tunis,TRANSPORT
carrefour,paiement courses maison sousse,ALIMENTATION
tunisie telecom,water facture juin,FACTURES
cafe express,paiement dejeuner ariana,RESTAURANT
khallas unknown,inconnu operation en ligne mastercard,AUTRE
pharma plus,visite medicale manar,SANTE
zara,paiement achat sport centre ville 5273,SHOPPING
Online Shop,fashion achat 3968,SHOPPING
xyz123,divers service en ligne 2028,AUTRE
sntri,transport ville tunis,TRANSPORT
sntri,station travel bizerte,TRANSPORT
hanout,achat fruits legumes,ALIMENTATION
internet provider,paiement facture mobile avril,FACTURES
unknownservice,paiement autre paiement tunis,AUTRE
SPORT CLUB FUN,entertainment paiement premium,LOISIRS
divers,operation diverse ref778,AUTRE
taxi,uber trajet sousse 3168,TRANSPORT
amazon,haircut men en ligne,SHOPPING
RENT APARTMENT,maison loyer paiement septembre 9867 visa,LOGEMENT
monthly payroll,paiement prime de performance fevrier virement,SALAIRE
عملية,paiement inconnu operation ref778 3092,AUTRE
كراء,paiement maison loyer paiement fevrier,LOGEMENT
esprit,en ligne course 2026,EDUCATION
onlineacademy,course abonnement avril,EDUCATION
كراء,paiement apartment location avril,LOGEMENT
mobile operator,recharge internet maison 7872,FACTURES
plan epargne,epargne mensuelle juin 6299,EPARGNE
مكتبة,training frais semestre 2,EDUCATION
residence ennasr,maison loyer paiement janvier,LOGEMENT
Station Metro,paiement transport marsa 7781 virement,TRANSPORT
تكسي,trajet travail tunis,TRANSPORT
unknown service,operation diverse en ligne,AUTRE
kfc,diner famille tunis,RESTAURANT
orange,facture d'electricite juin,FACTURES
مختبر,doctor visit ariana,SANTE
netflix,cinema ticket weekend 5868,LOISIRS
خدمة,divers tunis,AUTRE
sport club fun,achat console game weekend,LOISIRS
kfc,paiement diner famille ariana,RESTAURANT
netflix,paiement music abonnement weekend visa,LOISIRS
saving account,paiement placement personnel janvier mastercard,EPARGNE
accessories shop,paiement coupe cheveux centre ville,SHOPPING
Khallas Unknown,non classe paiement ref778 2461,AUTRE
cinema,film weekend mastercard,LOISIRS
livret,virement epargne mars visa,EPARGNE
online shop,personal care achat,SHOPPING
عملية,non classe paiement tunis virement,AUTRE
MONTHLY PAYROLL,paiement mensuel salaire,SALAIRE
landlord,paiement maison loyer paiement aout,LOGEMENT
طبيب,paiement achat medicaments manar,SANTE
zara,coupe cheveux ariana 3294 virement,SHOPPING
universite,paiement book achat mars visa,EDUCATION
residence lac,maison loyer paiement 3624 carte bancaire,LOGEMENT
ترفيه,paiement fun activity famille,LOISIRS
MALL ACHAT,coupe cheveux ariana,SHOPPING
تعليم,paiement training frais 2026,EDUCATION
CAFE BEN YEDDER,repas diner ariana,RESTAURANT
geant,mouneh maison lac,ALIMENTATION
hanout,boucherie alimentation lac carte bancaire,ALIMENTATION
مطعم,makloub chawarma centre ville carte bancaire,RESTAURANT
plan epargne,epargne versement fevrier,EPARGNE
grill house,paiement pizza commande 8415,RESTAURANT
station metro,trajet paiement sousse,TRANSPORT
compte epargne,epargne contribution fevrier,EPARGNE
مواصلات,transport a tunis,TRANSPORT
rapid transport,ticket louage lac 2636,TRANSPORT
عملية,divers service en ligne,AUTRE
pharmacie,paiement bilan de sante manar,SANTE
service taxi,transport a tunis marsa 8284,TRANSPORT
sonede,paiement water facture 4g,FACTURES
كراء,paiement loyer,LOGEMENT
XYZ123,paiement inconnu ref001,AUTRE
plan epargne,virement epargne mai virement,EPARGNE
random pay,paiement non classe paiement en ligne carte bancaire,AUTRE
coursera,frais universite,EDUCATION
pstb,course abonnement 2026 2661,EDUCATION
formation center,training frais,EDUCATION
accessories shop,paiement achat personnel lac,SHOPPING
صيدلية,visite medicale,SANTE
SONEDE,facture internet avril mastercard,FACTURES
salary transfer,paiement company payroll fevrier mastercard,SALAIRE
taxi,bus pass sfax,TRANSPORT
hm,paiement haircut men ariana,SHOPPING
service inconnu,paiement divers service en ligne,AUTRE
landlord,loyer appartement septembre,LOGEMENT
souk,paiement achat produits alimentaires sousse,ALIMENTATION
CLINIQUE EL AMEN,paiement consultation medicale sousse 1128,SANTE
freshmarket,paiement achat produits alimentaires sousse,ALIMENTATION
Plan Epargne,virement to epargne mai,EPARGNE
udemy,formation data science 2026 9113,EDUCATION
LOUAGE,paiement trajet travail ariana,TRANSPORT
Station Metro,trajet tunis tunis,TRANSPORT
salaire,mensuel salaire fevrier 58,SALAIRE
esprit,university paiement mastercard,EDUCATION
MONTHLY PAYROLL,paiement prime de performance juin 2931,SALAIRE
لواج,transport a tunis sousse visa,TRANSPORT
yum yum,fast nourriture commande la marsa,RESTAURANT
parfumerie,coupe cheveux en ligne 1009,SHOPPING
online shop,paiement buying accessories centre ville 2856,SHOPPING
udemy,frais universite 2026,EDUCATION
Game Pass,film weekend premium,LOISIRS
librairie,paiement university paiement semestre 2,EDUCATION
savings transfer,paiement virement epargne fevrier,EPARGNE
unknown service,paiement transaction non classee 2026,AUTRE
ooredoo,utility paiement maison 5172 en ligne,FACTURES
pizza hut,pizza commande ariana virement,RESTAURANT
UNKNOWN MERCHANT,paiement inconnu 2026,AUTRE
steg,telecom facture,FACTURES
salary,paiement virement salaire mars 2613,SALAIRE
loyer,paiement loyer avril 3868,LOGEMENT
parfumerie,achat clothes centre ville,SHOPPING
grill house,diner weekend,RESTAURANT
residence lac,paiement frais logement mai 5873,LOGEMENT
gare routiere,paiement course taxi bizerte,TRANSPORT
سينما,jeu video mensuel,LOISIRS
YUM YUM,paiement carte restaurant centre ville,RESTAURANT
random pay,divers service ref001,AUTRE
ادخار,paiement epargne mensuelle 5770,EPARGNE
accessories shop,paiement mall achat,SHOPPING
pull and bear,achat personnel marsa carte,SHOPPING
HM,coupe cheveux,SHOPPING
para pharmacie,paiement ordonnance medicaments tunis 6460,SANTE
جامعة,frais universite 2026,EDUCATION
عملية,paiement inconnu en ligne 8831,AUTRE
bolt,paiement ticket louage ariana 4671,TRANSPORT
dentiste,paiement bilan medical manar 7424,SANTE
service inconnu,paiement inconnu operation 6498,AUTRE
fast food,diner weekend lac,RESTAURANT
hanout,achat cuisine bizerte,ALIMENTATION
universite,paiement training frais mars,EDUCATION
campus service,paiement achat livres,EDUCATION
xbox,paiement weekend loisirs mensuel 4866,LOISIRS
water service,paiement mobile recharge,FACTURES
cafe express,makloub chawarma ariana 8086 en ligne,RESTAURANT
compte epargne,paiement mensuel epargne fevrier,EPARGNE
disney plus,paiement cinema ticket premium visa,LOISIRS
rapid transport,transport a tunis bizerte,TRANSPORT
souk,paiement courses,ALIMENTATION
livret,paiement reservation argent avril,EPARGNE
Placement,virement epargne juin,EPARGNE
coffeeshop,paiement diner famille tunis,RESTAURANT
geant,achat alimentaire sfax 7686,ALIMENTATION
carrefour,paiement courses maison ariana,ALIMENTATION
paie,versement employeur,SALAIRE
service divers,paiement inconnu 2026,AUTRE
خدمة,operation diverse 2026 4681,AUTRE
hamma hajem,coupe cheveux marsa,SHOPPING
Compte Epargne,epargne contribution avril,EPARGNE
medecin,achat medicament ariana 7168,SANTE
ادخار,reservation argent mars,EPARGNE
Unknown Service,divers tunis,AUTRE
accessories shop,achat clothes en ligne virement,SHOPPING
service inconnu,paiement non classe paiement ref001,AUTRE
تعليم,achat livres 2026 carte bancaire,EDUCATION
compte epargne,virement epargne mars,EPARGNE
decathlon,achat vetements en ligne carte,SHOPPING
cabinet medical,bilan de sante sfax visa,SANTE
boucherie slim,paiement achat epicerie nabeul 2445,ALIMENTATION
investment saving,epargne contribution janvier 2397,EPARGNE
ooredoo,paiement facture,FACTURES
parfumerie,hjema en ligne,SHOPPING
Paie,mensuel salaire juin 6316 virement,SALAIRE
apartment owner,paiement loyer septembre virement,LOGEMENT
metro,paiement station travel sousse 715,TRANSPORT
monoprix,achat alimentaire sfax,ALIMENTATION
accessories shop,achat sport marsa,SHOPPING
SALAIRE,company payroll fevrier 667,SALAIRE
immo service,charges immeuble,LOGEMENT
TUNISIE TELECOM,paiement facture mobile juin,FACTURES
syndic,paiement loyer avril,LOGEMENT
COIFFEUR HOMME,coupe cheveux tunis 103,SHOPPING
حجام,achat personnel tunis,SHOPPING
spotify,abonnement plateforme famille,LOISIRS
orange,mobile recharge,FACTURES
تكسي,paiement station travel bizerte mastercard,TRANSPORT
water service,paiement facture mars,FACTURES
INVESTMENT SAVING,paiement virement to epargne janvier 1521,EPARGNE
pstb,formation data science semestre 2,EDUCATION
steg,facture d'electricite,FACTURES
salary,mensuel salaire mai,SALAIRE
esprit,university paiement mars,EDUCATION
مختبر,paiement analyses sousse,SANTE
hanout,achats menageres sousse,ALIMENTATION
pharmacie,medical appointment manar,SANTE
immo service,paiement loyer avril,LOGEMENT
investment saving,paiement mensuel epargne carte,EPARGNE
عيادة,visite medicale,SANTE
Property Service,frais logement mai,LOGEMENT
pizzahut,restaurant paiement,RESTAURANT
transport public,paiement transport,TRANSPORT
investment saving,paiement epargne mensuelle,EPARGNE
grill house,pizza commande sousse,RESTAURANT
rent apartment,residence frais aout 4544,LOGEMENT
online academy,paiement formation data science mars,EDUCATION
مواصلات,paiement ticket metro tunis virement,TRANSPORT
service divers,non classe paiement ref778,AUTRE
placement,reservation argent janvier en ligne,EPARGNE
cafe express,paiement cafe,RESTAURANT
savings transfer,paiement investment epargne,EPARGNE
sport club fun,jeu video famille,LOISIRS
SONEDE,paiement internet paiement juin 9433,FACTURES
random pay,autre paiement tunis 2833,AUTRE
taxi tunis,transport ville lac 1854,TRANSPORT
property service,location paiement juillet,LOGEMENT
campusservice,frais inscription semestre 1 5225,EDUCATION
تكسي,paiement trajet downtown marsa,TRANSPORT
Payroll,paiement mensuel salaire mai,SALAIRE
BARBER SHOP,en ligne achat marsa 6129,SHOPPING
mobile operator,telecom facture 4g 8665,FACTURES
mall achat,hjema marsa 564,SHOPPING
marche central,achat fruits legumes tunis,ALIMENTATION
مواصلات,ticket louage lac,TRANSPORT
cinema,weekend loisirs weekend,LOISIRS
restaurant la marsa,cafe avec amis manar,RESTAURANT
amazon,soin capillaire ariana,SHOPPING
wallet reserve,epargne versement avril,EPARGNE
uber,transport quotidien sfax 6554,TRANSPORT
Udemy,formation data science avril 9541 carte bancaire,EDUCATION
سينما,weekend loisirs mensuel,LOISIRS
PAIE,company payroll juin carte,SALAIRE
COMPANY PAYROLL,company payroll janvier,SALAIRE
grill house,diner weekend lac,RESTAURANT
عملية,transaction non classee,AUTRE
property service,loyer mensuel mai,LOGEMENT
HM,paiement achat sport ariana,SHOPPING
Para Pharmacie,medical appointment ariana,SANTE
gaming store,achat console game avril 7741,LOISIRS
gare routiere,paiement trajet travail bizerte 6994 visa,TRANSPORT
UNKNOWN SERVICE,divers ref778 4698,AUTRE
pull and bear,achat vetements,SHOPPING
Placement,virement to epargne avril,EPARGNE
spotify,abonnement plateforme weekend 1346,LOISIRS
bershka,achat sport centre ville,SHOPPING
savingaccount,virement epargne juin,EPARGNE
clinique,consultation medicale sfax,SANTE
سينما,film weekend mars,LOISIRS
خدمة,paiement service inconnu,AUTRE
parfumerie,personal care achat tunis mastercard,SHOPPING
walletreserve,virement to epargne,EPARGNE
home rent,paiement loyer mensuel,LOGEMENT
xbox,paiement weekend loisirs avril 3875 visa,LOISIRS
MAKLOUB CENTER,makloub chawarma ariana,RESTAURANT
UNKNOWN SERVICE,paiement transaction non classee 2026 8055 mastercard,AUTRE
BERSHKA,achat personnel lac,SHOPPING
autre transaction,paiement inconnu ref778,AUTRE
كراء,paiement residence frais 133,LOGEMENT
service divers,inconnu operation,AUTRE
لواج,paiement bus pass lac,TRANSPORT
immo service,charges immeuble aout 6639,LOGEMENT
restaurant el bey,achat repas tunis,RESTAURANT
SHOPPING CENTER,en ligne achat ariana,SHOPPING
Spotify,abonnement plateforme weekend,LOISIRS
Cinema,fun activity famille 7457,LOISIRS
rent apartment,paiement versement logement juillet,LOGEMENT
geant,paniers cuisine manouba 9672,ALIMENTATION
dentiste,paiement analyses ariana,SANTE
orange,facture mobile maison,FACTURES
autre transaction,paiement operation diverse 2026,AUTRE
para pharmacie,analyses manar 3444,SANTE
wifi bill,paiement wifi abonnement mai visa,FACTURES
DENTISTE,paiement bilan de sante sfax mastercard,SANTE
Grill House,paiement fast nourriture commande lac,RESTAURANT
Apartment Owner,syndic building frais aout,LOGEMENT
metro,paiement ticket louage marsa carte,TRANSPORT
coursera,frais universite mars 6134,EDUCATION
Loyer,paiement maison loyer paiement aout,LOGEMENT
online shop,paiement mall achat ariana,SHOPPING
خدمة,paiement divers ref778,AUTRE
water service,paiement mobile recharge mai,FACTURES
tunisie telecom,telecom facture juin,FACTURES
bus,paiement bus pass marsa,TRANSPORT
carrefour,paiement courses maison ariana 2466,ALIMENTATION
pstb,formation data science 2026,EDUCATION
makloub center,paiement restaurant paiement manar 458,RESTAURANT
PARA PHARMACIE,analyses,SANTE
sonede,paiement facture mobile juin,FACTURES
online academy,training frais avril,EDUCATION
transport public,ticket metro sfax 8445,TRANSPORT
mobile operator,paiement utility paiement mai,FACTURES
مطعم المزة,fast nourriture commande lac 2751,RESTAURANT
amazon,achat vetements,SHOPPING
Plan Epargne,paiement epargne mensuelle mars 8328,EPARGNE
waterservice,paiement recharge internet juin,FACTURES
fruitsshop,achat epicerie,ALIMENTATION
لواج,trajet downtown marsa 5975,TRANSPORT
فاتورة,water facture maison,FACTURES
ooredoo,paiement recharge internet 4g,FACTURES
فاتورة,paiement facture internet,FACTURES
virement employeur,paiement virement salaire fevrier,SALAIRE
clinique,paiement pharmacy achat sousse,SANTE
ترفيه,achat console game premium,LOISIRS
internetprovider,paiement telecom facture tunis 2249,FACTURES
SAVINGS TRANSFER,investment epargne,EPARGNE
savings transfer,paiement investment epargne 7465,EPARGNE
RADIOLOGIE,paiement bilan medical tunis virement,SANTE
hr payment,company payroll mars visa,SALAIRE
Playstation,paiement gaming achat mars,LOISIRS
مختبر,pharmacy achat lac carte bancaire,SANTE
bus,trajet travail sousse visa,TRANSPORT
universite,paiement training frais semestre 2,EDUCATION
hamma hajem,mall achat ariana,SHOPPING
mall achat,paiement haircut men en ligne,SHOPPING
hm,paiement hjema en ligne 6190 visa,SHOPPING
virement employeur,paiement prime de performance 2026,SALAIRE
hospital,analyses sfax virement,SANTE
تعليم,paiement course abonnement semestre 2,EDUCATION
universite,paiement education paiement semestre 2,EDUCATION
online academy,paiement cours semestre 2,EDUCATION
PIZZA HUT,makloub chawarma tunis,RESTAURANT
CARREFOUR,paiement mouneh maison sousse 5494,ALIMENTATION
metro,paiement station travel sfax,TRANSPORT
magasin general,paiement achat cuisine lac,ALIMENTATION
plan epargne,virement epargne 1087,EPARGNE
SERVICE DIVERS,paiement autre paiement tunis,AUTRE
ooredoo,paiement utility paiement mars,FACTURES
SALARY,paie mensuelle avril,SALAIRE
مطعم,paiement repas diner lac,RESTAURANT
clinique,achat medicaments manar 7026,SANTE
monoprix,courses maison manouba,ALIMENTATION
Epargne,epargne mensuelle fevrier 717,EPARGNE
fresh market,paiement supermarket achat manouba 4822,ALIMENTATION
